   Samples    Bubblesort    Shakersort     Quicksort Selectionsort 
       100          9300          1200          4800          6000 
       200         39800          1600          8200         21600 
       500        225900          2800         18900        131600 
      1000        875500          5100         28700        630400 
      2000       2147200         14000         78000       1054700 
      5000      13279300         28000        206500       8396800 
      7000      29226900         40200        203400      17222200 
     10000      60261000         56500        440100      27869100 
     20000     215343000        112400        542200     106210200 
     30000     476114300        168200        900200     242735900 
     40000     849952200        244500       1262700     418088600 
     50000    1277129700        292100       1434400     699760300 
     60000    2065080400        394400       1915300     964651500 
     70000    6374328400        573000       3137900    2136092300 
