   Samples    Bubblesort    Shakersort     Quicksort Selectionsort 
       100         24600         16400          8300         10100 
       200         75600         66300         18100         31300 
       500        430100        173800         49000        172000 
      1000       1353800        601300         83600        584700 
      2000       4835200       3464100        214200       1721600 
      5000      24099500      11992800        613300       8120000 
      7000      54916900      25062600        641200      19340000 
     10000     111012600      56539600        972100      29718200 
     20000     649677000     338845800       2190600     116567200 
     30000    1663492700     984108600       3069000     253585900 
     40000    3190559700    1932389200       4320100     438402900 
     50000    5071387000    3143569600       5521800     678115400 
     60000    7413436300    4958775400       6953700    1046220500 
     70000   11960250800    9384316100      10789400    1698830600 
