   Samples    Bubblesort    Shakersort     Quicksort Selectionsort 
       100         13100          1600          4400          6600 
       200         42400          1700          8700         21600 
       500        236500          3600         22700        163600 
      1000        536400          7300         62000        547000 
      2000       2730300         11300         80500       1104400 
      5000      13830500         28400        161900       6341900 
      7000      25803300         38800        208000      13013900 
     10000      55414900         55900        286100      25446600 
     20000     213117000        111800        603400     102353100 
     30000     477679300        172100       1044900     243664100 
     40000    1093848200        262300       1392200     681189300 
     50000    1389136200        296400       1543100     704914000 
     60000    2155339300        350000       1790800    1098343400 
     70000    2700240600        442000       2229600    1454370800 
